customer_key,customer_number,customer_name,age_year,total_orders,total_sales,total_quantity,total_products,first_order,last_order,lifespan_months,customer_segment,age_group,recency_months,avg_order_value,avg_monthly_spend
1,AW00011000,Jon Yang,54,3,8249,8,8,2011-01-19,2013-05-03,28,VIP,50 and above,150,2750,295
2,AW00011001,Eugene Huang,49,3,6384,11,10,2011-01-15,2013-12-10,35,VIP,40-49,143,2128,182
3,AW00011002,Ruben Torres,55,3,8114,4,4,2011-01-07,2013-02-23,26,VIP,50 and above,152,2705,312
4,AW00011003,Christy Zhu,52,3,8139,9,9,2010-12-29,2013-05-10,29,VIP,50 and above,150,2713,281
5,AW00011004,Elizabeth Johnson,46,3,8196,6,6,2011-01-23,2013-05-01,28,VIP,40-49,150,2732,293
6,AW00011005,Julio Ruiz,49,3,8121,6,6,2010-12-30,2013-05-02,28,VIP,40-49,150,2707,290
7,AW00011006,Janet Alvarez,49,3,8119,5,5,2011-01-24,2013-05-14,28,VIP,40-49,150,2706,290
8,AW00011007,Marco Mehta,56,3,8211,8,8,2011-01-09,2013-03-19,27,VIP,50 and above,152,2737,304
9,AW00011008,Rob Verhoff,50,3,8106,7,7,2011-01-25,2013-03-02,26,VIP,50 and above,152,2702,312
10,AW00011009,Shannon Carlson,56,3,8091,5,5,2011-01-27,2013-05-09,28,VIP,50 and above,150,2697,289
11,AW00011010,Jacquelyn Suarez,56,3,8088,4,4,2011-01-14,2013-05-23,29,VIP,50 and above,149,2696,279
12,AW00011011,Curtis Lu,56,3,8133,4,4,2010-12-30,2013-03-19,27,VIP,50 and above,152,2711,301
13,AW00011012,Lauren Walker,47,2,81,5,5,2013-03-16,2013-10-15,7,New,40-49,145,40,12
14,AW00011013,Ian Jenkins,46,2,114,5,5,2013-04-13,2014-01-21,9,New,40-49,141,57,13
15,AW00011014,Sydney Bennett,52,2,138,6,5,2013-03-23,2013-04-30,1,New,50 and above,150,69,138
16,AW00011015,Chloe Young,41,1,2501,3,3,2013-01-18,2013-01-18,0,New,40-49,154,2501,0
17,AW00011016,Wyatt Hill,41,1,2332,3,3,2013-02-09,2013-02-09,0,New,40-49,153,2332,0
18,AW00011017,Shannon Wang,76,3,6434,4,4,2011-01-12,2013-10-14,34,VIP,50 and above,145,2145,189
19,AW00011018,Clarence Rai,70,3,6533,7,7,2011-01-17,2013-10-24,34,VIP,50 and above,144,2178,192
20,AW00011019,Luke Lal,42,17,880,33,20,2013-02-12,2014-01-12,11,New,40-49,142,52,80
21,AW00011020,Jordan King,41,1,2317,2,2,2012-12-29,2012-12-29,0,New,40-49,154,2317,0
22,AW00011021,Destiny Wilson,41,1,2372,3,3,2013-01-23,2013-01-23,0,New,40-49,153,2372,0
23,AW00011022,Ethan Zhang,41,1,2322,2,2,2013-01-20,2013-01-20,0,New,40-49,154,2322,0
24,AW00011023,Seth Edwards,41,2,122,6,6,2013-02-17,2014-01-14,11,New,40-49,142,61,11
25,AW00011024,Russell Xie,41,2,56,6,5,2013-06-27,2013-07-26,1,New,40-49,147,28,56
26,AW00011025,Alejandro Beck,74,3,6577,6,6,2011-01-06,2013-10-25,34,VIP,50 and above,144,2192,193
27,AW00011026,Harold Sai,74,3,6575,7,7,2011-01-23,2013-10-15,33,VIP,50 and above,145,2192,199
28,AW00011027,Jessie Zhao,73,3,6591,9,9,2011-01-16,2013-10-24,34,VIP,50 and above,144,2197,194
29,AW00011028,Jill Jimenez,74,3,6474,5,5,2011-01-26,2013-10-07,33,VIP,50 and above,145,2158,196
30,AW00011029,Jimmy Moreno,73,3,6565,7,7,2011-01-19,2013-11-11,34,VIP,50 and above,144,2188,193
31,AW00011030,Bethany Yuan,68,3,6471,4,4,2011-02-05,2013-11-09,34,VIP,50 and above,144,2157,190
32,AW00011031,Theresa Ramos,73,3,6478,6,6,2011-02-01,2013-11-13,34,VIP,50 and above,144,2159,191
33,AW00011032,Denise Stone,73,3,6525,10,10,2011-02-18,2013-11-08,33,VIP,50 and above,144,2175,198
34,AW00011033,Jaime Nath,67,3,6495,7,7,2011-02-15,2013-11-05,33,VIP,50 and above,144,2165,197
35,AW00011034,Ebony Gonzalez,73,3,6491,4,4,2011-02-01,2013-11-10,34,VIP,50 and above,144,2164,191
36,AW00011035,Wendy Dominguez,72,3,6451,5,5,2011-02-06,2013-11-15,34,VIP,50 and above,144,2150,190
37,AW00011036,Jennifer Russell,41,1,2355,2,2,2013-01-22,2013-01-22,0,New,40-49,153,2355,0
38,AW00011037,Chloe Garcia,42,1,2374,7,7,2013-01-20,2013-01-20,0,New,40-49,154,2374,0
39,AW00011038,Diana Hernandez,72,3,6437,3,3,2011-02-07,2013-11-12,34,VIP,50 and above,144,2146,189
40,AW00011039,Marc Martin,71,3,6636,9,8,2011-02-07,2013-11-11,34,VIP,50 and above,144,2212,195
41,AW00011040,Jesse Murphy,43,1,2351,3,3,2013-04-03,2013-04-03,0,New,40-49,151,2351,0
42,AW00011041,Amanda Carter,42,1,2381,3,3,2013-01-14,2013-01-14,0,New,40-49,154,2381,0
43,AW00011042,Megan Sanchez,43,2,3112,3,3,2013-01-21,2013-10-17,9,New,40-49,145,1556,346
44,AW00011043,Nathan Simmons,44,2,48,3,3,2013-05-08,2013-08-18,3,New,40-49,147,24,16
45,AW00011044,Adam Flores,71,3,6515,7,7,2011-02-28,2013-11-08,33,VIP,50 and above,144,2172,197
46,AW00011045,Leonard Nara,70,2,115,4,4,2013-04-10,2013-10-29,7,New,50 and above,144,58,16
47,AW00011046,Christine Yuan,70,3,6616,6,6,2011-02-06,2013-11-12,34,VIP,50 and above,144,2205,195
48,AW00011047,Jaclyn Lu,70,3,6582,4,4,2011-02-03,2013-11-19,34,VIP,50 and above,143,2194,194
49,AW00011048,Jeremy Powell,69,3,6498,8,8,2011-02-10,2013-12-25,35,VIP,50 and above,142,2166,186
